sports_name,team_names,date,moneyline_odds,both_score_odds,double_chance_odds,handicap_odds,dnb_odds,total_odds
Tennis,"LY, Nam Hoang - Ellis, Blake",2023-03-23 05:30:00,"LY, Nam Hoang - Ellis, Blake LY, Nam Hoang 1.18
LY, Nam Hoang - Ellis, Blake Ellis, Blake 3.70,
LY, Nam Hoang - Ellis, Blake LY, Nam Hoang 2.75
LY, Nam Hoang - Ellis, Blake Ellis, Blake 4.05,
LY, Nam Hoang - Ellis, Blake LY, Nam Hoang 3.10
LY, Nam Hoang - Ellis, Blake Ellis, Blake 1.25",,,,,
Tennis,"Singh, Karan - Kovapitukted, Palaphoom",2023-03-23 05:30:00,"Singh, Karan - Kovapitukted, Palaphoom Singh, Karan 7.00
Singh, Karan - Kovapitukted, Palaphoom Kovapitukted, Palaphoom 1.02,
Singh, Karan - Kovapitukted, Palaphoom Singh, Karan 13.50
Singh, Karan - Kovapitukted, Palaphoom Kovapitukted, Palaphoom 2.00,
Singh, Karan - Kovapitukted, Palaphoom Singh, Karan 4.95
Singh, Karan - Kovapitukted, Palaphoom Kovapitukted, Palaphoom 1.09,
Singh, Karan - Kovapitukted, Palaphoom Singh, Karan 3.30
Singh, Karan - Kovapitukted, Palaphoom Kovapitukted, Palaphoom 1.20",,,,,
Tennis,"Sureshkumar, Manish - Donskoy, Evgeny",2023-03-23 05:30:00,"Sureshkumar, Manish - Donskoy, Evgeny Sureshkumar, Manish 8.25
Sureshkumar, Manish - Donskoy, Evgeny Donskoy, Evgeny 0.00,
Sureshkumar, Manish - Donskoy, Evgeny Sureshkumar, Manish 70.00
Sureshkumar, Manish - Donskoy, Evgeny Donskoy, Evgeny 2.06,
Sureshkumar, Manish - Donskoy, Evgeny Sureshkumar, Manish 7.50
Sureshkumar, Manish - Donskoy, Evgeny Donskoy, Evgeny 1.01,
Sureshkumar, Manish - Donskoy, Evgeny Sureshkumar, Manish 1.57
Sureshkumar, Manish - Donskoy, Evgeny Donskoy, Evgeny 2.00",,,,,
Tennis,"Mukund, Sasi Kumar - Agarwal, Rishab",2023-03-23 06:30:00,"Mukund, Sasi Kumar - Agarwal, Rishab Mukund, Sasi Kumar 1.14
Mukund, Sasi Kumar - Agarwal, Rishab Agarwal, Rishab 4.15,
Mukund, Sasi Kumar - Agarwal, Rishab Mukund, Sasi Kumar 2.25
Mukund, Sasi Kumar - Agarwal, Rishab Agarwal, Rishab 6.25,
Mukund, Sasi Kumar - Agarwal, Rishab Mukund, Sasi Kumar 1.20
Mukund, Sasi Kumar - Agarwal, Rishab Agarwal, Rishab 3.40,
Mukund, Sasi Kumar - Agarwal, Rishab Mukund, Sasi Kumar 1.20
Mukund, Sasi Kumar - Agarwal, Rishab Agarwal, Rishab 3.45",,,,,
Tennis,"Hule, Petra - Saito, Sara",2023-03-23 06:30:00,"Hule, Petra - Saito, Sara Hule, Petra 1.37
Hule, Petra - Saito, Sara Saito, Sara 2.55,
Hule, Petra - Saito, Sara Hule, Petra 2.65
Hule, Petra - Saito, Sara Saito, Sara 4.05,
Hule, Petra - Saito, Sara Hule, Petra 1.45
Hule, Petra - Saito, Sara Saito, Sara 2.30,
Hule, Petra - Saito, Sara Hule, Petra 1.42
Hule, Petra - Saito, Sara Saito, Sara 2.40,
Hule, Petra - Saito, Sara Hule, Petra 1.85
Hule, Petra - Saito, Sara Saito, Sara 1.70",,,,,
Tennis,"Bains, Naiktha - Yang, Ya-Yi",2023-03-23 06:30:00,"Bains, Naiktha - Yang, Ya-Yi Bains, Naiktha 1.50
Bains, Naiktha - Yang, Ya-Yi Yang, Ya-Yi 2.20,
Bains, Naiktha - Yang, Ya-Yi Bains, Naiktha 3.05
Bains, Naiktha - Yang, Ya-Yi Yang, Ya-Yi 3.90,
Bains, Naiktha - Yang, Ya-Yi Bains, Naiktha 1.55
Bains, Naiktha - Yang, Ya-Yi Yang, Ya-Yi 2.10,
Bains, Naiktha - Yang, Ya-Yi Bains, Naiktha 1.55
Bains, Naiktha - Yang, Ya-Yi Yang, Ya-Yi 2.10,
Bains, Naiktha - Yang, Ya-Yi Bains, Naiktha 2.16
Bains, Naiktha - Yang, Ya-Yi Yang, Ya-Yi 1.50",,,,,
Tennis,"Gadecki, Olivia - Ramialison, Irina",2023-03-23 06:30:00,"Gadecki, Olivia - Ramialison, Irina Gadecki, Olivia 1.12
Gadecki, Olivia - Ramialison, Irina Ramialison, Irina 4.40,
Gadecki, Olivia - Ramialison, Irina Gadecki, Olivia 2.30
Gadecki, Olivia - Ramialison, Irina Ramialison, Irina 6.75,
Gadecki, Olivia - Ramialison, Irina Gadecki, Olivia 1.20
Gadecki, Olivia - Ramialison, Irina Ramialison, Irina 3.55,
Gadecki, Olivia - Ramialison, Irina Gadecki, Olivia 1.18
Gadecki, Olivia - Ramialison, Irina Ramialison, Irina 3.70,
Gadecki, Olivia - Ramialison, Irina Gadecki, Olivia 1.60
Gadecki, Olivia - Ramialison, Irina Ramialison, Irina 1.95",,,,,
Tennis,"Kawamura, Mana - Jakupovic, Dalila",2023-03-23 06:30:00,"Kawamura, Mana - Jakupovic, Dalila Kawamura, Mana 4.45
Kawamura, Mana - Jakupovic, Dalila Jakupovic, Dalila 1.12,
Kawamura, Mana - Jakupovic, Dalila Kawamura, Mana 6.50
Kawamura, Mana - Jakupovic, Dalila Jakupovic, Dalila 2.25,
Kawamura, Mana - Jakupovic, Dalila Kawamura, Mana 3.65
Kawamura, Mana - Jakupovic, Dalila Jakupovic, Dalila 1.18,
Kawamura, Mana - Jakupovic, Dalila Kawamura, Mana 3.70
Kawamura, Mana - Jakupovic, Dalila Jakupovic, Dalila 1.18,
Kawamura, Mana - Jakupovic, Dalila Kawamura, Mana 2.75
Kawamura, Mana - Jakupovic, Dalila Jakupovic, Dalila 1.30",,,,,
Beachvolley,Gorobets M / Romanenko I - Skrynnik I / Svyrydenko D,2023-03-23 06:35:00,"Gorobets M / Romanenko I - Skrynnik I / Svyrydenko D Gorobets M / Romanenko I 2.20
Gorobets M / Romanenko I - Skrynnik I / Svyrydenko D Skrynnik I / Svyrydenko D 1.57,
Gorobets M / Romanenko I - Skrynnik I / Svyrydenko D Gorobets M / Romanenko I 2.30
Gorobets M / Romanenko I - Skrynnik I / Svyrydenko D Skrynnik I / Svyrydenko D 1.52",,,,,
ESports,Real Madrid (Tyson) - Manchester City FC (Gorilla),2023-03-23 06:30:00,,"Real Madrid (Tyson) - Manchester City FC (Gorilla) Real Madrid (Tyson) 3.40
4.10
Real Madrid (Tyson) - Manchester City FC (Gorilla) Manchester City FC (Gorilla) 1.65","Real Madrid (Tyson) - Manchester City FC (Gorilla);1.85
Real Madrid (Tyson) - Manchester City FC (Gorilla);1.12
Real Madrid (Tyson) - Manchester City FC (Gorilla);1.18",,"Real Madrid (Tyson) - Manchester City FC (Gorilla)Real Madrid (Tyson)2.60 
 Real Madrid (Tyson) - Manchester City FC (Gorilla)Manchester City FC (Gorilla)1.32","Real Madrid (Tyson) - Manchester City FC (Gorilla)6.5
1.70
1.70"
