sport_name,team_names,date,moneyline_odds,both_score_odds,double_chance_odds,handicap_odds,dnb_odds,total_odds
BASKET,San Miguel Beermen - Barangay Ginebra San Miguel,2023-03-24 08:00:00,,"San Miguel Beermen - Barangay Ginebra San Miguel San Miguel Beermen  2.02
14.00
San Miguel Beermen - Barangay Ginebra San Miguel {'ID': 15983, 'name': 'Barangay Ginebra San Miguel', 'betradarID': 96577, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.94",,,,
BASKET,San Miguel Beermen - Barangay Ginebra San Miguel,2023-03-24 08:00:00,,"San Miguel Beermen - Barangay Ginebra San Miguel San Miguel Beermen  2.02
14.00
San Miguel Beermen - Barangay Ginebra San Miguel {'ID': 15983, 'name': 'Barangay Ginebra San Miguel', 'betradarID': 96577, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.94",,,,
BASKET,Logan Thunder (V) - South West Metro Pirates (V),2023-03-24 09:00:00,,"Logan Thunder (V) - South West Metro Pirates (V) Logan Thunder (V)  1.08
23.00
Logan Thunder (V) - South West Metro Pirates (V) {'ID': 256605, 'name': 'South West Metro Pirates (V)', 'betradarID': 344736, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 7.20",,,,
BASKET,Mackay Meteorettes (V) - Rockhampton Cyclones (V),2023-03-24 09:30:00,,"Mackay Meteorettes (V) - Rockhampton Cyclones (V) Mackay Meteorettes (V)  1.32
16.00
Mackay Meteorettes (V) - Rockhampton Cyclones (V) {'ID': 255856, 'name': 'Rockhampton Cyclones (V)', 'betradarID': 790038, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 3.45",,,,
BASKET,Mackay Meteorettes (V) - Rockhampton Cyclones (V),2023-03-24 09:30:00,,"Mackay Meteorettes (V) - Rockhampton Cyclones (V) Mackay Meteorettes (V)  1.32
16.00
Mackay Meteorettes (V) - Rockhampton Cyclones (V) {'ID': 255856, 'name': 'Rockhampton Cyclones (V)', 'betradarID': 790038, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 3.45",,,,
BASKET,Changhua Bll - Taiwan Beer,2023-03-24 10:00:00,,"Changhua Bll - Taiwan Beer Changhua Bll  1.76
13.00
Changhua Bll - Taiwan Beer {'ID': 192882, 'name': 'Taiwan Beer', 'betradarID': 425787, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 2.30",,,,
BASKET,Changhua Bll - Taiwan Beer,2023-03-24 10:00:00,,"Changhua Bll - Taiwan Beer Changhua Bll  1.76
13.00
Changhua Bll - Taiwan Beer {'ID': 192882, 'name': 'Taiwan Beer', 'betradarID': 425787, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 2.30",,,,
BASKET,Meralco Bolts - Tropang TNT,2023-03-24 10:45:00,,"Meralco Bolts - Tropang TNT Meralco Bolts  2.80
15.00
Meralco Bolts - Tropang TNT {'ID': 16022, 'name': 'Tropang TNT', 'betradarID': 96589, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.52",,,,
BASKET,Meralco Bolts - Tropang TNT,2023-03-24 10:45:00,,"Meralco Bolts - Tropang TNT Meralco Bolts  2.80
15.00
Meralco Bolts - Tropang TNT {'ID': 16022, 'name': 'Tropang TNT', 'betradarID': 96589, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.52",,,,
BASKET,Oita Heat Devils - Kumamoto Vorters,2023-03-24 11:00:00,,"Oita Heat Devils - Kumamoto Vorters Oita Heat Devils  2.20
13.00
Oita Heat Devils - Kumamoto Vorters {'ID': 19086, 'name': 'Kumamoto Vorters', 'betradarID': 123572, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.81",,,,
BASKET,Oita Heat Devils - Kumamoto Vorters,2023-03-24 11:00:00,,"Oita Heat Devils - Kumamoto Vorters Oita Heat Devils  2.20
13.00
Oita Heat Devils - Kumamoto Vorters {'ID': 19086, 'name': 'Kumamoto Vorters', 'betradarID': 123572, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.81",,,,
BASKET,Mobis Phoebus - Anyang KGC,2023-03-24 11:00:00,,"Mobis Phoebus - Anyang KGC Mobis Phoebus  2.55
15.00
Mobis Phoebus - Anyang KGC {'ID': 10370, 'name': 'Anyang KGC', 'betradarID': 126294, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.60",,,,
BASKET,Mobis Phoebus - Anyang KGC,2023-03-24 11:00:00,,"Mobis Phoebus - Anyang KGC Mobis Phoebus  2.55
15.00
Mobis Phoebus - Anyang KGC {'ID': 10370, 'name': 'Anyang KGC', 'betradarID': 126294, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.60",,,,
BASKET,Seoul SK Knights - KCC Egis,2023-03-24 11:00:00,,"Seoul SK Knights - KCC Egis Seoul SK Knights  1.19
18.00
Seoul SK Knights - KCC Egis {'ID': 10373, 'name': 'KCC Egis', 'betradarID': 126292, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 5.40",,,,
BASKET,Seoul SK Knights - KCC Egis,2023-03-24 11:00:00,,"Seoul SK Knights - KCC Egis Seoul SK Knights  1.19
18.00
Seoul SK Knights - KCC Egis {'ID': 10373, 'name': 'KCC Egis', 'betradarID': 126292, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 5.40",,,,
BASKET,Yulon Luxgen Dinos - Bank Of Taiwan,2023-03-24 12:00:00,,"Yulon Luxgen Dinos - Bank Of Taiwan Yulon Luxgen Dinos  2.04
13.00
Yulon Luxgen Dinos - Bank Of Taiwan {'ID': 192823, 'name': 'Bank Of Taiwan', 'betradarID': 425791, 'colorHomeShirt': '', 'colorHomePants': '', 'colorAwayShirt': '', 'colorAwayPants': ''} 1.96",,,,
